RMSE,e RCRB,Bias
793.5594798830047,649.5182002385171,301.59974578505677
793.6871438409124,642.6147047224255,311.0845225081423
276.93883958445997,245.98120109962613,72.1043761767474
275.96116761143526,245.67513818423058,69.95250937758864
194.79073252690958,173.62889705381374,50.67808272368481
193.0901572885947,173.20760362962832,51.232187581113884
168.2203143807509,141.94483739464272,59.98795811848195
169.95588193831585,141.85058623977278,61.205562150841
185.3975161384998,150.50129161497318,75.29436440182532
186.14673749967395,150.63378604592174,76.17992704596293
237.8456217159832,182.64096902448912,105.4947508563922
237.44928802582493,182.87131615231786,106.7395071637231
362.47527844707065,255.3878729589197,175.68924708458434
366.6992677168712,255.9500807892793,178.71255733622132
831.4774860070074,536.1307280218937,423.9834275296732
829.1161857147874,541.0283569681128,414.5573547139199
204582578.978648,13553596.548494121,2710330.3864228777
9004742722.545576,35872573.88470986,127696501.5221231
1975.2244886820747,1702.2252720500817,697.1136928348706
1946.709706094308,1670.5738838827372,688.4289999043626
395.70392482998193,326.5953029158945,139.31049431183385
392.92804671919146,324.5022117512814,139.10880717228383
246.5039011966216,222.19443194920285,52.19379509771964
243.55461904182903,220.59463143880942,55.02650209548808
175.3338088288296,149.62723983852882,58.38167429892303
175.6567546534388,149.50210258116184,56.883279587073226
172.98668557255533,143.20775668746657,66.93470864777673
175.40344573483853,143.1602044526633,70.1057087816508
208.72850831985923,164.9866172550235,89.21771324486625
208.66723756381583,165.1799866791391,90.01380232592061
292.5784176952592,213.15230811022943,137.32275712931244
292.569995552111,213.7371149216767,135.85615641525064
512.8025953391276,346.4285606197813,254.39242085817764
511.1076329812251,347.87824046311556,257.0572927923829
1685.4263331684017,1211.3622120815817,827.4019639863876
1708.7712027892808,1230.5975673696748,824.1973432933406
65403547896.898315,nan,977484954.5942439
2966936709.0945053,60391016.406600975,49132890.96205911
777.9860917993177,644.4735613686177,294.1027810485606
781.5733801232609,637.9311765655503,296.31828904449634
285.7043523849628,255.20728418173553,67.39559237529332
285.35893254444295,254.770337638982,70.76427022615975
